VENDOR_NAME,STREET,CITY,STATE,ZIP,PHONE,PASSES,TOKENS,COUPONS,RESTRICTIONS
PLS Check Cashers,1545 W Pico Blvd,Los Angeles,CA,90015,2133880773,Metro,Yes,No,No EZ Passes
PLS Check Cashers,15039 South Prairie Ave.,Hawthorne,CA,90620,3102191028,Metro,Yes,No,No EZ Passes
Pls Check Cashers,2601 S. La Brea Avenue,Los Angeles,CA,90016,3239365853,Metro,Yes,No,No EZ Passes
PLS Check Cashers,1605 S. Hoover St.,Los Angeles,CA,90006,2137452800,Metro,Yes,No,No EZ Passes
PLS Check Cashers,2324 Whittier Blvd.,Los Angeles,CA,90023,3232698000,Metro,No,No,No EZ Passes
PLS Check Cashers,10048 S. Hawthorne Blvd.,Inglewood,CA,90304,3104120610,Metro,No,No,No EZ Passes
PLS Check Cashers of CA,9714 Woodman Ave.,Arleta,CA,91331,8188996900,Metro ,Yes,No,No EZ Passes
PLS Check Cashers Of CA,3805 E. Cesar Chavez Ave.,Los Angeles,CA,90063,2134793461,Metro,No,No,No EZ Passes
PLS Check Cashiers,13022 S. Atlantic Ave,Compton,CA,90221,3106085400,Metro,Yes,No,No EZ Passes
PLS Check Cashiers,1570 S Western 110,Los Angeles,CA,90006,3236430598,Metro,Yes,No,No EZ Passes
PLS Check Cashers,3217 E. Florence Ave.,Huntington Park,CA,90255,3232773919,Metro,Yes,No,No EZ Passes
PLS CheckCashers,11301 Long Beach Blvd,Lynwod,CA,90262,3106055300,Metro,Yes,No,No EZ Passes
Power Discount Store,325 W. 5Th Street,Los Angeles,CA,90013,2136236515,Metro,No,Both,None
Quick Cash,3448 Martin Luther King Jr Blvd.,Lynwood,CA,90262,3106318653,Metro,Yes,No,No EZ Passes
Quick Stop Liquor,14411 Victory Blvd.,Van Nuys,CA,91401,8187818489,Metro,Yes,Both,None
Quick Stop Liquor,5102 Hollywood Boulevrd,Los Angeles,CA,90027,3236628993,Metro,Yes,CTC,None
Quik Check,4137 E. Gage Ave.,Bell,CA,90201,3235622244,Metro,No,No,No EZ Passes
Quik Check,525 East Vernon Avenue,Los Angeles,CA,90011,3232352594,Metro,Yes,No,No EZ Passes
Ralphs,10455 Sunland Blvd.,Sunland,CA,91040,8183524544,Metro,Yes,No,None
Ralphs,1100 Pacific Coast Highway,Hermosa Beach,CA,90254,3107986800,Metro,Yes,CTC,None
Ralphs,12921 Magnolia Blvd,Sherman Oaks,CA,91423,8189862293,Metro,Yes,Both,No EZ Passes
Ralphs,16940 Devonshire St.,Granada Hills,CA,91344,8183633173,Metro,No,Both,None
Ralphs,5429 Hollywood Blvd,Los Angeles,CA,90027,3239579657,Metro,Yes,No,None
Ralphs,2909 Rolling Hills Rd.,Torrance,CA,90505,3103250611,Metro,Yes,CTC,None
Ralphs,4700 Admiralty Way,Marina Del Rey,CA,90242,3108234684,Metro,Yes,Both,None
Ralphs,1416 E Colorado Blvd,Glendale,CA,91205,8185480945,Metro,Yes,Both,No EZ Passes
Ralphs,650 E. Carson St.,Carson,CA,90745,3105184191,Metro,No,CTC,None
Ralphs,1233 N La Brea Ave,Los Angeles,CA,90038,3238768790,Metro,Yes,No,None
Ralphs,10861 Le Conte Avenue,Los Angeles,CA,90024,3108245994,Metro,Yes,Both,None
Ralphs,645 W. 9Th Street,Los Angeles,CA,90017,2134520840,Metro,Yes,Both,None 
Ralphs,30019 Hawthorne Blvd.,Palos Verdes,CA,90274,3103776941,Metro,Yes,Both,None
Ralphs,14440 Burbank Blvd,Van Nuys,CA,91401,8189895640,Metro,Yes,Both,None
Ralphs,11873 Hawthorne Blvd,Hawthorne,CA,90250,3106799164,Metro,Yes,Both,None
Ralphs,1050 N. Western,San Pedro,CA,90732,3108333506,Metro,Yes,Both,None
Ralphs,7221 Woodman Blvd,Van Nuys,CA,91405,8187853162,Metro,Yes,RRTC,None
Ralphs,15120 W. Sunset Blvd,Pacific Palisades,CA,90272,3104543001,Metro,Yes,RRTC,None
Ralphs,2230 Atlantic Blvd.,Monterey Park,CA,91754,3237213785,Metro,Yes,Both,None
Ralphs,9616 W. Pico blvd,Los Angeles,CA,90035,3102712672,Metro,Yes,Both,None
Ralphs,3300 W. Slauson Ave,Los Angeles,CA,90043,3232930171,Metro,Yes,No,None
Ralphs,5080 Rodeo Rd.,Los Angeles,CA,90016,3232920633,Metro,Yes,RRTC,None
Ralphs,3410 W. Third Street,Los Angeles,CA,90020,2134801421,Metro,Yes,No,None
Ralphs,950 N. La Brea Ave.,Inglewood,CA,90302,3106736365,Metro,Yes,No,None
Ralphs,8625 Firestone Blvd.,Downey,CA,90241,5628692733,Metro,No,No,None
Ralphs,260 S. La Brea Avenue,Los Angeles,CA,90036,3239373264,Metro,Yes,Both,None
Ralphs,2270 Lake Ave,Altadena,CA,91001,6267941175,Metro,Yes,Both,None
Ralphs,10900 Magnolia Blvd.,North Hollywood,CA,91601,8187604148,Metro,Yes,No,No EZ Passes
Ralphs,500 N. Sepulveda Blvd,El Segundo,CA,90245,3106150537,Metro,Yes,Both,None
Ralphs,670 S. Western Avenue,Los Angeles,CA,90005,2133835058,Metro,Yes,Both,None
Ralphs,8325 Laurel Canyon Blvd,Sun Valley,CA,91352,8187680378,Metro,Yes,RRTC,No EZ Passes
Ralphs,1644 Cloverfield Blvd.,Santa Monica,CA,90404,3105823900,Metro,Yes,Both,None
Ralphs,1730 W. Manchester Ave,Los Angeles,CA,90047,3237503151,Metro,Yes,No,None
Ralphs,25 E Alameda,Burbank,CA,91502,8185561558,Metro,Yes,RRTC,None
Ralphs,12057 Wilshire Blvd,Los Angeles,CA,90025,3104778746,Metro,Yes,No,None
Ralphs,11727 West Olympic Blvd,Los Angeles,CA,90064,3104735238,Metro,Yes,Both,None
Ralphs,4311 Lincoln Blvd.,Marina Del Rey,CA,90292,3105740909,Metro,No,No,No EZ Passes
Ralphs,2600 S. Vermont Ave,Los Angeles,CA,90007,3237323863,Metro,No,Both,None
Ralphs,5601 Wilshire Blvd.,Los Angeles,CA,90036,3239364954,Metro,Yes,Both,None
Ralphs,2250 E. Carson St.,Long Beach,CA,90807,5624242012,Metro,Yes,No,None
Ralphs,2520 Glendale Blvd.,Los Angeles,CA,90039,3236665392,Metro,Yes,CTC,None
Ralphs,17250 Saticoy Street,Van Nuys,CA,91406,8186098425,Metro,No,Both,None
Rampart Check Cashing,264 S. Rampart,Los Angeles,CA,90057,2133866478,Metro,Yes,No,None
Redondo Beach Senior,320 Knob Hill Ave.,Redondo Beach,CA,89277,3103180650,Metro,No,Both,No EZ Passes
Redondo Beach Senior Family,1922 Artesia Blvd,Redondo Beach,CA,90277,NULL,Metro,,,
Redwood Shop,213 S. Broadway,Los Angeles,CA,90012,2136804053,Metro,Yes,Both,None
Rose-Vine Exchange,748 N. Vine St.,Los Angeles,CA,90038,3234671777,Metro,Yes,Both,None
Roxbury Community Center,471 S. Roxbury Dr.,Beverly Hills,CA,90210,3102856840,Metro,No,No,No EZ Passes
Royal Deli and Market,410-A W. 6th St.,Los Angeles,CA,90014,2133275121,Metro,Yes,Both,None
Rubio Drug,16550 Ventura Blvd/Lobby,Encino,CA,91436,8189905100,Metro,Yes,Both,None
Sams Corner Liquor,2001 W. 6th Street,Los Angeles,CA,90057,2134838753,Metro,Yes,No,None
San Pedro Check Cashing,201 W. Adams Blvd,Los Angeles,CA,90007,2137468951,Metro,Yes,Both,None
Sandhya Enterprises,7550 Tampa Ave. #D,Reseda,CA,91335,8187741045,Metro,Yes,No,None
Sangus Drugs and Hallmark,27641 Bouquet Canyon Road,Santa Clarita,CA ,91351,6612963980,Santa Clarita,No,No,No EZ Passes
Santee Market,305 E. 8Th St,Los Angeles,CA,90014,2136893199,Metro,Yes,,
Sav-On Variety Store,201 S. Western Ave.,Los Angeles,CA,90004,2133861771,Metro,No,RRTC,No EZ Passes
Sav-On Variety Store,2633 W. 8th St.,Los Angeles,CA,90057,2133841433,Metro,No,RRTC,No EZ Passes
Senior Center Pico Rivera,9200 Mines Ave.,Pico Rivera,CA,90660,5629484844,Metro,No,No,No EZ Passes
Senior Center Joslyn Covina,125 E. College St.,Covina,CA ,91723,,Foothill Transit,,,
Sepulveda Check Cashing,8925 Sepulveda Boulevard-#3,North Hills,CA,91343,8188300250,Metro,Yes,No,None
Sherman Way Check Cashing,16048 1/2 Sherman Way,Van Nuys,CA,91406,8183761211,Metro,Yes,No,No EZ Passes
Short Stop,9501 Van Nuys Blvd,Panorama City,CA,91402,8188301394,Metro,Yes,No,None
Short Stop,15400 Nordhoff St.,North Hills,CA,91343,8188920640,Metro,Yes,No,Seniors Only
Short Stop,7929 Van Nuys Blvd,Panorama City,CA,91402,8189029729,Metro,Yes,No,No EZ Passes
Short Stop 21,15317 Vanowen St.,Van Nuys,CA,91406,8189943631,Metro,Yes,No,
Short Stop 28,6073 Van Nuys Blvd.,Van Nuys,CA,91401,8189040677,Metro,Yes,No,None
Short Stop 29,10402 Laurel Canyon Blvd.,Pacoima,CA,91331,8188903951,Metro,Yes,Both,None
Sierra Madre City Hall,232 W. Sierra Madre Blvd.,Sierra Madre,CA,91024,6263557135,Metro,No,No,No EZ Passes
Smoky Tango,1003 S. Vermont Ave.,Los Angeles,CA,90006,7147026857,Metro,Yes,RRTC,None
Speedy Check Cashing,239 E. 7th Street,Los Angeles,CA,90014,2136147918,Metro,No,No,No EZ Passes
Starlite Liquor,3510 W. Victory Boulevard,Burbank,CA,91505,8188464010 ,Metro,No,RRTC,No EZ  Passes
Su Casa De Cambio,1 Civic Plaza Dr. #625,Carson,CA,90745,3237285800,Metro,Yes,Both,None
Su Casa De Cambio,5166 E. Whittier Blvd.,Los Angeles,CA,90022,3232662188,Metro,Yes,Both,None
Su Casa De Cambio,3657 E. 1St St.,Los Angeles,CA,90063,3239809886,Metro,Yes,Both,None
Su Casa De Cambio,2400 W. Whittier Blvd.,Montebello,CA,90640,3137266740,Metro,Yes,Both,None
Su Casa De Cambio,4840 E. Whittier Blvd.,Los Angeles,CA,90022,3108472990,Metro,Yes,Both,None
Su Casa De Cambio,6571 E Olympic Blvd,Los Angeles,CA,90022,3232789922,Metro,Yes,Both,None
Su Casa De Cambio,1260 S. Soto #19,Los Angeles,CA,90023,3239800511,Metro,Yes,Both,None
Su Casa De Cambio,11522 Slauson Ave.,Whittier,CA,90606,5624639213,Metro,Yes,Both,None
Su Casa De Cambio,14632 E. Valley Blvd. #A,La Puente,CA,91746,3108472990,Metro,Yes,Both,None
Su Casa de Cambio,2576 clarendon Ave.,Huntington Park,CA,90255,3235825467,Metro,Yes,Both,None
Su Casa De Cambio,2132 E. Cesar Chavez Ave,Los Angeles,CA,90033,3232623240,Metro,Yes,Both,None
Su Casa de Cambio,9335 Slauson Ave.,Pico Rivera,CA,90660,5628210215,Metro,Yes,Both,None
Super Buy,7224 S. Vermont Ave.,Los Angeles,CA,90044,3237525633,Metro,No,RRTC,None
Super Dollar,1126 San Fernando Rd.,San Fernando,CA,91340,8183653146,Metro,No,Both,None
Super Salud Liquor & Market,625 N. Mednik Ave.,Los Angeles,CA,90022,3232687934,Metro,Yes,No,No EZ Passes
TDT Community Market,814 W. Gardena Blvd.,Gardena,CA,90247,3103234708,Metro,Yes,RRTC,No EZ Passes
Top Town,806 S Broadway,Los Angeles,CA,90014,2136276270,Metro,No,RRTC,No EZ Passes
Top Valu Market,10819 S. Hawthorne Blvd..,Inglewood,CA,90301,3106717988,Metro,No,RRTC,None
Topanga Check Cashing,7239 Topanga Canyon blvd.,Canoga Park,CA,91303,8185940057,Metro,Yes,Both,None
Torrance Transit System,3031 Torrance Blvd.,Torrance,CA,90503,3106182536,Metro,,Both,None
Town Deli & Liquor,59465948 S. Main St.,Los Angeles,CA,90003,3232325035,Metro,Yes,No,No EZ Passes
Trimana,1139 S. Hill St.,Los Angeles,CA,90015,2137426774,Metro,Yes,CTC,None
UCLA Central Ticket Office,325 Westwood Plaza,Los Angeles,CA,90024,3108252101,Metro,Yes,No,None
University of Antelope Valley,44055 Sierra Highway,Lancaster,CA,93534,6617261911,Metro,No,No,No EZ Passes
US Postal Exchange,803 E. Palmdale Blvd.,Palmdale,CA,93552,6612740762,AVTA,No,,No EZ Passes
Valencia Library,23743 Valencia Blvd,Santa Clarita,CA,91355,6612598942,Santa Clarita,No,No,No EZ Passes
Vanowen Check Cashing,6803 Woodman Ave,Van Nuys,CA,91405,8183741371,Metro,Yes,Yes,None
Vermillion's Drug #3,1942 E Anaheim St.,Long Beach,CA,90813,5625910549,Metro/LBTransit,No,Both,None
Vernon & Soto,3843 S. Soto St.,Vernon,CA,90058,3235887776,Metro,Yes,Both,None
Vernon Quick Check,5825 S. Santa Fe Ave.,Vernon,CA,90058,3235889991,Metro,Yes,Both,None
Vineland Wine Cellar,6012 Vineland Avenue,North Hollywood,CA,91606,8187632234,Metro,No,RRTC,No EZ Passes
Vons,4520 Sunset Blvd.,Los Angeles,CA,90027,3236628107,Metro,Yes,Both,None
Vons,4033 Laurel Canyon Blvd.,Studio City,CA,91604,8189855401,Metro,Yes,Both,None
Vons,14845 Ventura Blvd.,Sherman Oaks,CA,91403,8189867213,Metro,Yes,Both,None
Vons,1311 Wilshire Blvd.,Santa Monica,CA,90403,3103941414,Metro,Yes,No,None
Vons,9476 W Olympic Blvd.,Beverly Hills,CA,90212,3105535734 ,Metro,Yes,No,None
Vons,8969 Santa Monica Blvd.,West Hollywood,CA,90069,3105951730,Metro,Yes,CTC,None
Vons,727 N Vine St,Los Angeles,CA,90038,3234614167,Metro,No,Both,None
Vons,4033 West Ave L,Lancaster,CA,93536,6617227291,Metro,No,No,None
Vons,3027 Rancho Vista Blvd,Palmdale,CA,93551,6612659285,Metro,No,No,None
Vons,24160 Lyons Ave,Santa Clarita,CA,91321,6612599214,Santa Clarita,No,No,No Stored Value
Wally's Liquor Market,1955 S. San Pedro St.,Los Angeles,CA,90011,2137465666,Metro,Yes,No,No EZ Passes
Ware Networking,38416 10th St. E. ,Palmdale ,CA,93550,6612659900,Metro/AVTA,Yes,No,No EZ Passes
West Hollywood Chamber of Commerce ,8272 Santa Monica Blvd.,West Hollywood,CA,90046,3236502688,Metro,No,No,No EZ Passes
Westside Biz & Mail Stop,44248 10th Street West,Lancaster,CA,93534,6614180153,AVTA,No,,No EZ Passes
Whittier Market,4045 Whittier Blvd.,Los Angeles,CA,90023,3232684869,Metro,Yes,No,No EZ Passes
Whittier Senior Center,13225 Walnut St.,Whittier,CA,90262,5626982131,Metro,,,
Winnetka Check Cashing,20851 Sherman Way,Canoga Park,CA,91306,8185920516,Metro,Yes,No,None
