name,street,city,zipcode,phone,features,comments
Smoky Tango,1003 S. Vermont Ave.,Los Angeles,90006,(714) 702-6857,"[metro_passes,rrtp_coupons]",
Starlite Liquor,3510 W. Victory Boulevard,Burbank,91505,(818) 846-4010 ,"[metro_passes,rrtp_coupons]",
Super Buy,7224 S. Vermont Ave.,Los Angeles,90044,(323) 752-5633,"[metro_passes,rrtp_coupons]",
TDT Community Market,814 W. Gardena Blvd.,Gardena,90247,(310) 323-4708,"[metro_passes,rrtp_coupons]",
Top Valu Market,10819 S. Hawthorne Blvd..,Inglewood,90301,(310) 671-7988,"[metro_passes,rrtp_coupons]",
Vineland Wine Cellar,6012 Vineland Avenue,North Hollywood,91606,(818) 763-2234,"[metro_passes,rrtp_coupons]",
Vanowen Check Cashing,6803 Woodman Ave,Van Nuys,91405,(818) 374-1371,"[metro_passes]",
AV Mail & More,2851 W. Ave L,Lancaster ,93536,(661) 722-4555,"[avta_passes]",
Beverly Kenmore Check Cashing,4028 Beverly Blvd,Los Angeles,90004,(213) 380-9815,"[metro_passes]",
Cal Poly Pomona,"3801 W. Temple Ave., BU #35",Pomona,91768,(909) 869-2859,"[metro_passes,foothilltransit_passes]","NO, Going to review information"
City of Azusa,213 East Foothill Dr.,Azusa,91702,(626) 812-5204,"[metrolink_passes,foothilltransit_passes]",does not know about program wants us to call back with more information.  Ask for Jennifer
City of Baldwin Park,14403 E Pacific Ave ,Baldwin Park,91706,(626) 960-4011 x458,"[foothilltransit_passes]","are very interested in all aspects of the program. HAS, also send information about. ATTN Daniel Wall cc David Lopez"
East Hollywood Currency Services,5520 Santa Monica Blvd,Los Angeles,90038,(323) 466-2703,"[metro_passes,rrtp_coupons]",
Eastside Checking Cashing,1018 E. Ave J,Lancaster,93535,(661) 726-1321,"[avta_passes]",(FAX)
Gas Tower,555 West 5th St.,Los Angeles,90013,(213) 613-4410,"[foothilltransit_passes]",(WRONG NUMBER)
Glendora Transportation Services,410 E. Dalton Ave.,Glendora,91741,(626) 852-4814,"[metro_passes]","currently do not, never have had anyone come in with coupon, but would be open to the program.  Call back at later date to set it up"
Grace Super Market,5500 Compton Ave.,Los Angeles,90011,(323) 234-5990,"[metro_passes,rrtp_coupons]",
Gumbo Market,1610 E. Vernon Ave.,Los Angeles,90011,(323) 232-1917,"[metro_passes]",Call back at 2:00
LA County Tax Collector,"225 N. Hill St., Room 114",Los Angeles,90012,(213) 974-2140,"[foothilltransit_passes]",
Los Hermanos Market,7715 Pearblossom Hwy.,Littlerock,93552,(661) 526-6570,"[avta_passes]",Hung up on me
Mail America,1025 W. Ave I,Lancaster,93535,(661) 945-6060,"[avta_passes]",
Senior Center Joslyn Covina,125 E. College St.,Covina,91723,(626) 384-5520,"[foothilltransit_passes]",Left message
US Postal Exchange,830 E. Palmdale Blvd.,Palmdale,93552,(661) 274-0762,"[avta_passes]",please send them information about the program
Westside Biz & Mail Stop,44248 10th Street West,Lancaster,93534,(661) 418-0153,"[avta_passes]",
Whittier Senior Center,13225 Walnut St.,Whittier,90262,(562) 698-2131,"[metro_passes]",
